Wall time,Step,Value
1690822855.9193485,6103,3.143670082092285
1690823259.6496344,14338,3.8677361011505127
1690823322.844231,15751,3.8677361011505127
1690823509.9054444,19242,3.6961801052093506
1690823773.235808,24191,3.5847129821777344
1690823820.2450013,24944,3.527817964553833
1690824149.6169577,31011,3.4306480884552
1690825222.2155702,53150,3.535504102706909
1690825272.0670044,53971,3.51263689994812
1690825440.662663,57724,3.4752109050750732
1690826577.051889,82038,3.3391189575195312
1690826688.2612891,84504,3.332365036010742
1690827024.2358725,90527,3.4391770362854004
1690827099.0826416,91848,3.4391770362854004
1690827244.0766845,94803,3.4202609062194824
1690827357.2720022,97101,3.4145870208740234
1690827952.3119285,108616,3.3759210109710693
1690828000.8636515,109616,3.3759210109710693
1690828138.7630324,112371,3.3690109252929688
1690828681.4192846,123305,3.3369650840759277
1690829027.7500553,129923,3.3198699951171875
1690830074.8168488,150408,3.3688340187072754
1690830082.3032882,150409,3.3688340187072754
1690830454.9411995,156877,3.3526320457458496
1690830493.5422132,157615,3.3526320457458496
1690830765.685376,162773,3.3365530967712402
1690830836.3306053,164182,3.3320469856262207
1690830843.7922513,164183,3.3320469856262207
1690831017.485286,167516,3.327799081802368
1690832178.2707145,189828,3.348422050476074
1690832670.831543,199632,3.333376884460449
1690832959.6410282,205396,3.322613000869751
1690833080.0134127,207917,3.3207919597625732
1690833087.5006258,207918,3.3207919597625732
1690833703.30467,220276,3.2601709365844727
1690833933.9655867,224524,3.2584080696105957
1690834087.600255,227329,3.256978988647461
1690834112.58426,227551,3.311863899230957
1690834164.791781,228462,3.311863899230957
1690834202.6048417,229211,3.311863899230957
1690834408.3358474,232660,3.309282064437866
1690834592.7426953,235946,3.308480978012085
1690835289.485116,247985,3.298995018005371
1690835426.086955,250549,3.297899007797241
1690835533.770431,252208,3.2971720695495605
1690835897.4060032,258556,3.294677972793579
1690835955.8371997,259437,3.294677972793579
1690836134.1121583,263152,3.2931621074676514
1690836187.4001546,263909,3.2931621074676514
1690836229.9049711,264697,3.293673038482666
1690836444.0441742,268068,3.291214942932129
1690836474.2956426,268563,3.2909939289093018
1690836561.265957,270152,3.2909939289093018
1690836598.7899237,271014,3.287445068359375
1690836740.957285,273696,3.286750078201294
1690836848.076098,275518,3.285891056060791
1690836863.4304376,275891,3.285891056060791
1690837334.0382192,284576,3.2845189571380615
1690838604.6960952,308844,3.214600086212158
1690838642.785183,309345,3.212973117828369
1690839206.2908971,319976,3.2070810794830322
1690839251.521373,320726,3.2070810794830322
1690839508.9270475,325091,3.2073140144348145
1690839658.9820366,327584,3.2083449363708496
1690839676.3484774,327946,3.2061290740966797
1690839760.6776588,329109,3.2061290740966797
1690839785.397015,329536,3.2061290740966797
1690839865.3748267,330683,3.205193042755127
1690840158.6064103,335530,3.2044310569763184
1690840210.750038,336385,3.20320200920105
1690840384.3362417,340134,3.13681697845459
1690841234.1029236,356054,3.1321659088134766
1690841279.537237,356910,3.1339640617370605
1690841406.7055306,359408,3.132375955581665
1690841516.4326737,361587,3.1349029541015625
1690841613.1410673,363544,3.1361029148101807
1690841777.3654673,366768,3.1354000568389893
1690841895.51708,369269,3.13494610786438
1690841976.5256083,370840,3.135694980621338
1690842858.3417768,386641,3.191659927368164
1690842956.2641075,388642,3.1918089389801025
1690842973.4509456,389069,3.1918089389801025
1690843300.6152327,395464,3.188477039337158
1690843550.119964,400803,3.188832998275757
1690843763.8689146,404902,3.1887030601501465
1690844432.6082263,417843,3.1890881061553955
1690844747.7743375,424423,3.189182996749878
1690845072.7851388,430015,3.2423830032348633
1690845168.0304134,431953,3.2428579330444336
1690845275.5349247,433661,3.185750961303711
1690845659.0751417,440291,3.1869020462036133
1690845704.3312516,440996,3.1872360706329346
1690845882.420877,444281,3.18556809425354
1690845931.3932045,445073,3.184441089630127
1690845986.207254,446074,3.184441089630127
1690846000.6619685,446438,3.184441089630127
1690846793.5725155,460512,3.1791629791259766
1690846914.2401857,462664,3.1805920600891113
1690846936.7468035,463164,3.180389881134033
1690847291.298634,469434,3.1810309886932373
1690847490.0171018,473168,3.183026075363159
1690847657.624869,476735,3.184725046157837
1690848155.6790323,485897,3.1824440956115723
1690848357.3273895,489900,3.184246063232422
1690848495.263472,492529,3.1833770275115967
1690848599.361204,494321,3.183748960494995
1690849148.8540852,504778,3.185180902481079
1690849226.6811147,506279,3.186785936355591
1690849614.8537948,513032,3.2413129806518555
1690849872.57962,517506,3.2418220043182373
1690849899.9532924,518006,3.2418220043182373
1690850156.8009965,522750,3.3128530979156494
1690850220.8040118,523974,3.3128530979156494
1690850499.7575798,528709,3.313148021697998
1690851147.3260632,540865,3.367743968963623
1690851272.570197,543166,3.3657000064849854
1690851588.1833928,549397,3.4841980934143066
1690851838.5306249,553840,3.4840290546417236
1690851996.804799,556613,3.484339952468872
1690852093.6793158,558228,3.482419967651367
1690852124.2024703,558985,3.482419967651367
1690852176.924586,559872,3.4828240871429443
1690852297.9878843,561706,3.4821090698242188
1690852472.4975843,565580,3.5355920791625977
1690852716.662566,569684,3.5369110107421875
1690852757.0171597,570684,3.5369110107421875
1690852819.795669,572184,3.5364019870758057
1690852939.9420896,574197,3.601746082305908
1690852967.3919291,574697,3.601746082305908
1690853452.7830837,583688,3.666011095046997
1690853571.3536713,586022,3.610701084136963
1690853995.413222,594444,3.5561399459838867
1690854335.4238396,600094,3.5534920692443848
1690854625.786229,605335,3.612255096435547
1690854762.2442415,607552,3.610814094543457
1690854994.6499915,612086,3.608844041824341
1690855034.3107798,612810,3.6103599071502686
1690855165.0583236,614881,3.6102259159088135
